ID, Name, Rating, x, y
1, An, 4.8, 2.1, 2.5
2, Bình, 4.9, 4, 1
3, Cường, 4.5, 1, 3
4, Dũng, 4.7, 5, 4
5, Hòa, 4.6, 3, 2
6, Minh, 4.9, 2, 6
7, Trang, 4.8, 6, 3
8, Hạnh, 4.7, 5, 5
9, Lộc, 4.6, 1, 5
10, Vy, 4.9, 3, 7
11, Nam, 4.5, 2, 4
12, Quân, 4.8, 7, 2
13, Thảo, 4.7, 5, 8
14, Phương, 4.9, 6, 4
15, Huyền, 4.6, 3, 6
16, Linh, 4.8, 4, 8
17, Tâm, 4.7, 2, 3
18, Khánh, 4.9, 1, 4
19, Thịnh, 4.5, 5, 6
20, Duy, 4.8, 4, 5
21, Lâm, 4.7, 7, 5
22, Tài, 4.9, 6, 2
23, Kim, 4.8, 2, 2
24, Phúc, 4.6, 3, 8
25, Như, 4.9, 4, 7
26, Đức, 4.7, 5, 3
27, Trí, 4.8, 7, 6
28, Bảo, 4.9, 8, 4
29, Hiếu, 4.5, 9, 2
30, Vinh, 4.7, 8, 5
31, Duyên, 4.6, 6, 6
32, Khoa, 4.8, 2, 9
33, Nga, 4.9, 4, 9
34, Lài, 4.7, 3, 9
35, Nhi, 4.8, 5, 9
77, Khôi, 4.8, 8, 9
78, Vy Anh, 4.7, 7, 4
79, Đan, 4.8, 6, 5
80, Dũng Nguyễn, 4.6, 5, 5
